,Product Name,Images,Description,Original Price,Discounts,Discounted Price,Reviews
10,Acer Aspire 7 (2024) Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NV...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/y/m/a715-76g-gaming-laptop-acer-original-imah42frghbdm9zg.jpeg?q=70,"{'Processor': 'Intel Core i5 Processor (12th Gen)', 'RAM': '8 GB DDR4 RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 Inch) Display', 'Warranty': '1 Year Onsite Warranty'}","₹83,999",38% off,"₹51,990",4.1
11,Infinix Y4 Max Series Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/p/u/inbook-y4-max-core-i5-thin-and-light-laptop-infinix-original-imagxy8mny47qkha.jpeg?q=70,"{'Processor': 'Intel Core i3 Processor (13th Gen)', 'RAM': '16 GB LPDDR4X RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '40.64 cm (16 inch) Display', 'Warranty': 'NA'}","₹59,990",43% off,"₹33,990",4.2
12,ZEBRONICS Pro Series Y Intel Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 2S Th...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/p/n/-original-imagxqetzpemafuw.jpeg?q=70,"{'Processor': 'Intel Core i5 Processor (11th Gen)', 'RAM': '8 GB LPDDR4X RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 inch) Display', 'Warranty': '1 Year Carry-in Warranty'}","₹48,999",45% off,"₹26,490",3.8
13,SAMSUNG Galaxy Book4 Intel Core 5 120U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGK-KG1IN / NP750XGK-L...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/a/i/-original-imah3xrqynsnbwqx.jpeg?q=70,"{'Processor': 'Intel Core 5 Processor', 'RAM': '8 GB LPDDR4X RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 Inch) Display', 'Warranty': '1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories'}","₹86,239",25% off,"₹63,990",4.2
14,Acer Chromebook (2024) Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CB314-3H-C...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/0/5/-original-imagvrefuybuvbe5.jpeg?q=70,"{'Processor': 'Intel Celeron Dual Core Processor', 'RAM': '8 GB LPDDR4X RAM', 'OS': 'Chrome Operating System', 'SSD': '35.56 cm (14 inch) Display', 'Display': '1 Year Onsite Warranty'}","₹33,999",52% off,"₹15,990",3.7
15,ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ515WS Thin...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/q/f/x1502za-ej953ws-thin-and-light-laptop-asus-original-imah3w8nywzjzpzb.jpeg?q=70,"{'Processor': 'Intel Core i5 Processor (12th Gen)', 'RAM': '8 GB DDR4 RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 Inch) Display', 'Warranty': '1 Year Onsite Warranty'}","₹70,990",39% off,"₹42,990",4.2
16,Thomson Intel Celeron Dual Core N4020 - (4 GB/128 GB SSD/Windows 11 Home) IN-PX14C Thin and Light Lapt...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/j/a/-original-imah25h7p7gpyxac.jpeg?q=70,"{'Processor': 'Intel Celeron Dual Core Processor', 'RAM': '4 GB LPDDR4 RAM', 'OS': '64 bit Windows 11 Operating System', 'SSD': '128 GB SSD', 'Display': '35.81 cm (14.1 inch) Display', 'Warranty': '1 Year Onsite Warranty'}","₹24,990",34% off,"₹16,490",3.1
17,"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/3/2/s/-original-imah2ger8qjev3sj.jpeg?q=70,"{'Processor': 'Intel Core i3 Processor (12th Gen)', 'RAM': '8 GB DDR4 RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 Inch) Display', 'Warranty': '1-year warranty'}","₹54,990",32% off,"₹36,990",4.2
18,Lenovo LOQ (2024) Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVI...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/9/5/-original-imahywvcamhjm2x3.jpeg?q=70,"{'Processor': 'Intel Core i5 Processor (13th Gen)', 'RAM': '16 GB DDR5 RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 Inch) Display', 'Warranty': 'Office Home & Student 2021'}","₹1,09,010",33% off,"₹72,490",4.2
19,Lenovo IdeaPad Slim 3 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) 15IRH8 Thin a...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/y/t/15irh8-thin-and-light-laptop-lenovo-original-imah42gy4znkcjej.jpeg?q=70,"{'Processor': 'Intel Core i5 Processor (13th Gen)', 'RAM': '16 GB LPDDR5 RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 Inch) Display', 'Warranty': '1Yr Warranty and 1 Yr Accidental Damage Protection'}","₹81,890",28% off,"₹58,390",4.3
